"Model","Covariate","Sample_Size","N_False_Covariates","n_sims","true_effect","mean_estimate","bias","rmse_estimate","mean_SE","empirical_SE","power_or_type_I","coverage","mean_RMSE_data","mean_RMSE_latent","effect_type","performance_metric"
"VAST_GMRF","false_1",100,5,50,0,-0.0147031392668675,-0.0147031392668675,0.191820886924605,0.193251508270055,0.193198297084018,0.02,0.98,0.277742898942309,0.205427546501677,"No Effect","Type I Error"
"VAST_GMRF","false_1",200,1,50,0,-0.0162351036369614,-0.0162351036369614,0.167401356618213,0.154893176648504,0.168303769367115,0.02,0.98,0.289079452079201,0.207277725590822,"No Effect","Type I Error"
"VAST_GMRF","false_1",200,3,50,0,0.00251999185941113,0.00251999185941113,0.147187591575565,0.15474621447013,0.148660127214092,0.06,0.94,0.285729541424451,0.213470161534189,"No Effect","Type I Error"
"VAST_GMRF","false_1",200,5,50,0,-0.00274835412194937,-0.00274835412194937,0.172238454210067,0.161152573862695,0.173964961456568,0.1,0.9,0.278315818326817,0.194670850929556,"No Effect","Type I Error"
"VAST_GMRF","false_2",50,3,50,0,-0.064459715918798,-0.064459715918798,0.254150013316924,0.241944402399871,0.248335631782712,0.08,0.92,0.286705560075381,0.217999547614187,"No Effect","Type I Error"
"VAST_GMRF","false_2",50,5,50,0,0.000946411146654433,0.000946411146654433,0.259905512287578,0.25083613851039,0.262542473965895,0.04,0.96,0.267132882625675,0.206110028537491,"No Effect","Type I Error"
"VAST_GMRF","false_2",100,3,50,0,0.0185009530104317,0.0185009530104317,0.166788498181902,0.186434215918382,0.167442094357228,0.02,0.98,0.282338953827523,0.205506649518805,"No Effect","Type I Error"
"VAST_GMRF","false_2",100,5,50,0,0.000276989982792529,0.000276989982792529,0.218324176573428,0.197323742778576,0.220540545009012,0.08,0.92,0.277742898942309,0.205427546501677,"No Effect","Type I Error"
"VAST_GMRF","false_2",200,3,50,0,-0.0229914641488861,-0.0229914641488861,0.152590405551279,0.148463089272754,0.152379843739772,0.06,0.94,0.285729541424451,0.213470161534189,"No Effect","Type I Error"
"VAST_GMRF","false_2",200,5,50,0,-0.0123969136979752,-0.0123969136979752,0.178563641747006,0.160482073685369,0.17994129055231,0.1,0.9,0.278315818326817,0.194670850929556,"No Effect","Type I Error"
"VAST_GMRF","false_3",50,3,50,0,0.120575757971715,0.120575757971715,0.24993008464248,0.249350627484393,0.221143904110995,0.04,0.96,0.286705560075381,0.217999547614187,"No Effect","Type I Error"
