"Model","Simulation","Sample_Size","N_False_Covariates","Covariate","True_Effect","Estimate","SE","p_value","Significant","RMSE_data","RMSE_latent"
"VAST_GMRF",4,50,1,"false_1",0,0.246689079016206,0.259520209537092,0.341828665421521,FALSE,0.302760259679374,0.232600248412099
"VAST_RSR",4,50,1,"real",1,0.565683302399013,0.105269555311015,7.71522306042272e-08,TRUE,0.287419655880431,0.223669724561994
"VAST_RSR",4,50,1,"false_1",0,0.6713857389573,0.101444038049145,3.63385987967035e-11,TRUE,0.287419655880431,0.223669724561994
"VAST_Selected",4,50,1,"real",1,0.960561112942865,0.0846701572936756,0,TRUE,0.321715159474137,0.248359157958908
"Covariate_Only",5,50,1,"real",1,0.921573001680379,0.159345446155652,5.7154073265973e-07,TRUE,0.256409414465965,0.198588812780164
"Covariate_Only",5,50,1,"false_1",0,-0.144182764658075,0.148803563093407,0.337531647802762,FALSE,0.256409414465965,0.198588812780164
"VAST_GMRF",5,50,1,"real",1,0.814280285872951,0.195283625975618,3.04958711669912e-05,TRUE,0.259164645253606,0.209068264386221
"VAST_GMRF",5,50,1,"false_1",0,-0.233280487456559,0.146453788893885,0.111191440115598,FALSE,0.259164645253606,0.209068264386221
"VAST_RSR",5,50,1,"real",1,0.921573001680385,0.136525168420666,1.47635237368604e-11,TRUE,0.256409414465965,0.198588812780163
"VAST_RSR",5,50,1,"false_1",0,-0.144182764658069,0.12749301597912,0.258094169253156,FALSE,0.256409414465965,0.198588812780163
"VAST_Selected",5,50,1,"real",1,0.898632965175264,0.137708187809285,6.77153888517523e-11,TRUE,0.258957731066716,0.199684375177614
"Covariate_Only",6,50,1,"real",1,2.35998902874005,0.308819818982398,8.76012116478727e-10,TRUE,0.293859021716048,0.252480325878278
"Covariate_Only",6,50,1,"false_1",0,0.580980267290129,0.213047976614127,0.00895618897560702,TRUE,0.293859021716048,0.252480325878278
"VAST_GMRF",6,50,1,"real",1,2.14529483329537,0.2594305974953,1.11022302462516e-16,TRUE,0.306000125649948,0.249513787665936
"VAST_GMRF",6,50,1,"false_1",0,0.219747043800005,0.205275008297924,0.284393985900803,FALSE,0.306000125649948,0.249513787665936
"VAST_RSR",6,50,1,"real",1,2.35998902874005,0.167870159826068,0,TRUE,0.293859021716048,0.252480325878278
"VAST_RSR",6,50,1,"false_1",0,0.580980267290129,0.115809917908386,5.25744584201071e-07,TRUE,0.293859021716048,0.252480325878278
"VAST_Selected",6,50,1,"real",1,2.50293994206738,0.16354809331497,0,TRUE,0.316253363094727,0.278504822693952
"Covariate_Only",7,50,1,"real",1,0.622440361823894,0.269121281091671,0.0251565076743537,TRUE,0.329098799055926,0.216801249698658
"Covariate_Only",7,50,1,"false_1",0,-0.0778492674354192,0.212049516301315,0.715171598167074,FALSE,0.329098799055926,0.216801249698658
"VAST_GMRF",7,50,1,"real",1,0.459715735137368,0.324796051163557,0.15695178706319,FALSE,0.33049339050644,0.220943370673008
