"Model","Simulation","Sample_Size","Covariate","True_Effect","Estimate","SE","p_value","Significant","RMSE_data","RMSE_latent","RMSE_cv_with_gmrf","RMSE_with_gmrf"
"VAST_RSR",7,200,"real",1,0.971180609890462,0.106020950677658,0,TRUE,0.241157501248546,0.126313885177759,NA,0.0750346593819814
"VAST_RSR",7,200,"false_1",0,0.196509047379261,0.062958169187267,0.00180076710093136,TRUE,0.241157501248546,0.126313885177759,NA,0.0750346593819814
"VAST_RSR",7,200,"false_2",0,-0.13051655651095,0.0766272981475298,0.0885185812783129,FALSE,0.241157501248546,0.126313885177759,NA,0.0750346593819814
"VAST_RSR",7,200,"false_3",0,0.198745660218533,0.0885721926134181,0.0248399135514518,TRUE,0.241157501248546,0.126313885177759,NA,0.0750346593819814
"VAST_Selected",7,200,"real",1,1.04301317757764,0.0937282129040865,0,TRUE,0.253134211232971,0.161737062746567,NA,0.0770613969543782
"Covariate_Only",8,200,"real",1,1.10618645549792,0.131593980565498,8.79711224176305e-15,TRUE,0.227648937989796,0.135789851439,NA,NA
"Covariate_Only",8,200,"false_1",0,-0.0923656467280191,0.140656192632293,0.512163022913537,FALSE,0.227648937989796,0.135789851439,NA,NA
"Covariate_Only",8,200,"false_2",0,-0.346107861477732,0.108044513982714,0.00158657077041431,TRUE,0.227648937989796,0.135789851439,NA,NA
"Covariate_Only",8,200,"false_3",0,0.304665695377562,0.0792236741114225,0.000162745729327066,TRUE,0.227648937989796,0.135789851439,NA,NA
"VAST_Normal",8,200,"real",1,1.02131194328948,0.192777993944507,1.17164015933646e-07,TRUE,0.235957956882136,0.136526912359829,NA,0.075433471448755
"VAST_Normal",8,200,"false_1",0,0.015909480641362,0.18266164853579,0.930593543848386,FALSE,0.235957956882136,0.136526912359829,NA,0.075433471448755
"VAST_Normal",8,200,"false_2",0,-0.00648484411447029,0.200960114185058,0.974257283952894,FALSE,0.235957956882136,0.136526912359829,NA,0.075433471448755
"VAST_Normal",8,200,"false_3",0,0.241601721633424,0.141673933757665,0.0881316953551251,FALSE,0.235957956882136,0.136526912359829,NA,0.075433471448755
"VAST_RSR",8,200,"real",1,1.10618645549792,0.105063802795832,0,TRUE,0.227648937989796,0.135789851439,NA,0.075433471448755
"VAST_RSR",8,200,"false_1",0,-0.0923656467280186,0.112299015663383,0.4107938743248,FALSE,0.227648937989796,0.135789851439,NA,0.075433471448755
